pdf p.	adh.	from v. (differ)	to v. (differ)	i. p.
1		×	×	×
2	Title page	×	×	×
3		×	×	×
4		×	×	×
5		×	×	×
6	Einleitung	×	×	×
7	Einleitung	×	×	×
8	Einleitung	×	×	×
9	Einleitung	×	×	×
10	Einleitung	×	×	×
11	Einleitung	×	×	×
12	Einleitung	×	×	×
13	Einleitung	×	×	×
14	Einleitung	×	×	×
15	Einleitung	×	×	×
16	Zusatze und Verbesserungen	×	×	×
17	Zusatze und Verbesserungen	×	×	×
18	---	---	---	1
19	---	---	---	2
20	prastavana	1	2	3
21	prastavana	3	5	4
22	1	1	2	5
23	1	3	5	6
24	1	6	8	7
25	1	9	10	8
26	1	11	12	9
27	1	13	15	10
28	1	16	17	11
29	1	18	19	12
30	1	---	---	13
31	1	---	---	14
32	1	20	21	15
33	1	22	23a	16
34	1	23b	26a	17
35	1	26b	27	18
36	1	28	28	19
37	2	---	---	20
38	2	1	2	21
39	2	3	3	22
40	2	4	5	23
41	2	6	7	24
42	2	7	8	25
43	2	10	12	26
44	2	13	14	27
45	2	15	16	28
46	2	---	---	29
47	2	17	18	30
48	2	19	19	31
49	3	1	4	32
50	3	5	5	33
51	3	6	6	34
52	3	7	8	35
53	3	9	10	36
54	3	12	13	37
55	3	14	15	38
56	3	16	18	39
57	3	19	20	40
58	3	21	22	41
59	3	23	23	42
60	4	---	---	43
61	4	1	1	44
62	4	---	---	45
63	4	2	3	46
64	4	---	---	47
65	4	4	4	48
66	4	---	---	49
67	4	5	5	50
68	4	6	8	51
69	4	9	11	52
70	4	12	13	53
71	4	14	15	54
72	4	16	17	55
73	4	18	19	56
74	4	20	21	57
75	4	22	22	58
76	5	1	1	59
77	5	2	4	60
78	5	5	6	61
79	5	7	9	62
80	5	10	12	63
81	5	13	14	64
82	5	15	17	65
83	5	18	18	66
84	5	19	20	67
85	5	21	21	68
86	5	22	24	69
87	5	25	26	70
88	5	27	28	71
89	5	29	30	72
90	5	---	---	73
91	5	31	31	74
92	5	---	---	75
93	5	---	---	76
94	6	1	1	77
95	6	2	3	78
96	6	4	4	79
97	6	5	6	80
98	6	7	7	81
99	6	8a	8a	82
100	6	8b	9	83
101	6	10	11	84
102	6	12	12	85
103	6	13	14	86
104	6	15	17a	87
105	6	17b	19	88
106	6	20	21	89
107	6	---	---	90
108	6	22	23	91
109	6	24	24	92
110	6	25	26	93
111	6	27	28	94
112	6	29	31	95
113	7	---	---	96
114	7	1	3a	97
115	7	3b	6	98
116	7	7	9	99
117	7	10	11	100
118	7	12	14	101
119	7	15	16	102
120	7	17	19	103
121	7	20	20	104
122	7	---	---	105
123	7	21	21	106
124	7	22	24	107
125	7	25	25	108
126	7	26	29	109
127	7	29	31	110
128	7	32	33a	111
129	7	33b	34a	112
130	7	34b	35	113
131	7	---	---	114
132	7	---	---	115
133	---	---	---	116
134	Prakritabhashavyakhya	×	×	×
135	Prakritabhashavyakhya	×	×	×
136	Prakritabhashavyakhya	×	×	×
137	Prakritabhashavyakhya	×	×	×
138	Prakritabhashavyakhya	×	×	×
139	Prakritabhashavyakhya	×	×	×
140	Prakritabhashavyakhya	×	×	×
141	Prakritabhashavyakhya	×	×	×
142	Prakritabhashavyakhya	×	×	×
143	Prakritabhashavyakhya	×	×	×
144	Prakritabhashavyakhya	×	×	×
145	Prakritabhashavyakhya	×	×	×
146	Prakritabhashavyakhya	×	×	×
147	Prakritabhashavyakhya	×	×	×
148	Prakritabhashavyakhya	×	×	×
149	Prakritabhashavyakhya	×	×	×
150	Prakritabhashavyakhya	×	×	×
151	Prakritabhashavyakhya	×	×	×
152	Prakritabhashavyakhya	×	×	×
153	Prakritabhashavyakhya	×	×	×
154	Prakritabhashavyakhya	×	×	×
155	Prakritabhashavyakhya	×	×	×
156	Anmerkungen	×	×	×
157	Anmerkungen	×	×	×
158	Anmerkungen	×	×	×
159	Anmerkungen	×	×	×
160	Anmerkungen	×	×	×
161	Anmerkungen	×	×	×
162	Anmerkungen	×	×	×
163	Anmerkungen	×	×	×
164	Anmerkungen	×	×	×
165	Anmerkungen	×	×	×
166	Anmerkungen	×	×	×
167	Anmerkungen	×	×	×
168	Anmerkungen	×	×	×
169	Anmerkungen	×	×	×
170	Anmerkungen	×	×	×
171	Anmerkungen	×	×	×
172	Anmerkungen	×	×	×
173	Anmerkungen	×	×	×
174	Anmerkungen	×	×	×
175	Anmerkungen	×	×	×
176	Anmerkungen	×	×	×
177	Anmerkungen	×	×	×
178	Anmerkungen	×	×	×
179	Anmerkungen	×	×	×
180	Anmerkungen	×	×	×
181	Anmerkungen	×	×	×
182	Anmerkungen	×	×	×
183	Anmerkungen	×	×	×
184	Anmerkungen	×	×	×
185	Anmerkungen	×	×	×
186	Anmerkungen	×	×	×
187	Anmerkungen	×	×	×
188	Anmerkungen	×	×	×
189	Anmerkungen	×	×	×
190	Anmerkungen	×	×	×
191	Anmerkungen	×	×	×
192	Anmerkungen	×	×	×
193	Anmerkungen	×	×	×
194	Anmerkungen	×	×	×
195	Anmerkungen	×	×	×
196	Anmerkungen	×	×	×
197	Anmerkungen	×	×	×
198	Anmerkungen	×	×	×
199	Anmerkungen	×	×	×
200	Anmerkungen	×	×	×
201	Anmerkungen	×	×	×
202	Anmerkungen	×	×	×
203	Anmerkungen	×	×	×
204	Anmerkungen	×	×	×
205	Anmerkungen	×	×	×
206	Anmerkungen	×	×	×
207	Anmerkungen	×	×	×
208	Anmerkungen	×	×	×
209	Anmerkungen	×	×	×
210	Anmerkungen	×	×	×
211	Anmerkungen	×	×	×
212	Anmerkungen	×	×	×
213	Anmerkungen	×	×	×
214	Anmerkungen	×	×	×
215	Anmerkungen	×	×	×
216	Anmerkungen	×	×	×
217	Anmerkungen	×	×	×
218	Anmerkungen	×	×	×
219	Anmerkungen	×	×	×
220	Anmerkungen	×	×	×
221	Anmerkungen	×	×	×
222	Anmerkungen	×	×	×
223	Anmerkungen	×	×	×
224	Anmerkungen	×	×	×
225	Anmerkungen	×	×	×
226	Anmerkungen	×	×	×
227	Anmerkungen	×	×	×
228	Anmerkungen	×	×	×
229	Anmerkungen	×	×	×
230	Anmerkungen	×	×	×
231	Anmerkungen	×	×	×
232	Anmerkungen	×	×	×
233	Anmerkungen	×	×	×
234	Anmerkungen	×	×	×
235	Anmerkungen	×	×	×
236	Anmerkungen	×	×	×
237	Anmerkungen	×	×	×
238	Anmerkungen	×	×	×
239	Anmerkungen	×	×	×
240	Anmerkungen	×	×	×
241	Anmerkungen	×	×	×
242	Anmerkungen	×	×	×
243	Anmerkungen	×	×	×
244	Anmerkungen	×	×	×
245	Anmerkungen	×	×	×
246	Anmerkungen	×	×	×
247	Anmerkungen	×	×	×
248	Anmerkungen	×	×	×
249	Anmerkungen	×	×	×
250	Anmerkungen	×	×	×
251	Anmerkungen	×	×	×
252	Anmerkungen	×	×	×
253	Anmerkungen	×	×	×
254	Anmerkungen	×	×	×
255	Anmerkungen	×	×	×
256	Anmerkungen	×	×	×
257	Anmerkungen	×	×	×
258	Anmerkungen	×	×	×
259	Anmerkungen	×	×	×
260	Anmerkungen	×	×	×
261	Anmerkungen	×	×	×
262	Anmerkungen	×	×	×
263	Anmerkungen	×	×	×
264	Anmerkungen	×	×	×
265	Anmerkungen	×	×	×
266	Anmerkungen	×	×	×
267	Anmerkungen	×	×	×
268	Anmerkungen	×	×	×
269	Anmerkungen	×	×	×
270	Anmerkungen	×	×	×
271	Anmerkungen	×	×	×
272	Anmerkungen	×	×	×
273	Anmerkungen	×	×	×
274	Anmerkungen	×	×	×
275	Anmerkungen	×	×	×
276	Anmerkungen	×	×	×
277	Anmerkungen	×	×	×
278	Anmerkungen	×	×	×
279	Anmerkungen	×	×	×
280	Anmerkungen	×	×	×
281	Anmerkungen	×	×	×
282	Anmerkungen	×	×	×
283	Anmerkungen	×	×	×
284	Anmerkungen	×	×	×
285	Anmerkungen	×	×	×
286	Anmerkungen	×	×	×
287	Anmerkungen	×	×	×
288	Anmerkungen	×	×	×
289	Anmerkungen	×	×	×
290	Anmerkungen	×	×	×
291	Anmerkungen	×	×	×
292	Anmerkungen	×	×	×
293	Anmerkungen	×	×	×
294	Anmerkungen	×	×	×
295	Anmerkungen	×	×	×
296	Anmerkungen	×	×	×
297	Anmerkungen	×	×	×
298	Anmerkungen	×	×	×
299	Anmerkungen	×	×	×
300	Anmerkungen	×	×	×
301	Anmerkungen	×	×	×
302	Anmerkungen	×	×	×
303	Anmerkungen	×	×	×
304	Anmerkungen	×	×	×
305	Anmerkungen	×	×	×
306	Drama vorkommenden Metra	×	×	×
307	Drama vorkommenden Metra	×	×	×
308	Drama vorkommenden Metra	×	×	×
309	Drama vorkommenden Metra	×	×	×
310	Uebersetzung	×	×	×
311	Uebersetzung	×	×	×
312	Uebersetzung	×	×	×
313	Uebersetzung	×	×	×
314	Uebersetzung	×	×	×
315	Uebersetzung	×	×	×
316	Uebersetzung	×	×	×
317	Uebersetzung	×	×	×
318	Uebersetzung	×	×	×
319	Uebersetzung	×	×	×
320	Uebersetzung	×	×	×
321	Uebersetzung	×	×	×
322	Uebersetzung	×	×	×
323	Uebersetzung	×	×	×
324	Uebersetzung	×	×	×
325	Uebersetzung	×	×	×
326	Uebersetzung	×	×	×
327	Uebersetzung	×	×	×
328	Uebersetzung	×	×	×
329	Uebersetzung	×	×	×
330	Uebersetzung	×	×	×
331	Uebersetzung	×	×	×
332	Uebersetzung	×	×	×
333	Uebersetzung	×	×	×
334	Uebersetzung	×	×	×
335	Uebersetzung	×	×	×
336	Uebersetzung	×	×	×
337	Uebersetzung	×	×	×
338	Uebersetzung	×	×	×
339	Uebersetzung	×	×	×
340	Uebersetzung	×	×	×
341	Uebersetzung	×	×	×
342	Uebersetzung	×	×	×
343	Uebersetzung	×	×	×
344	Uebersetzung	×	×	×
345	Uebersetzung	×	×	×
346	Uebersetzung	×	×	×
347	Uebersetzung	×	×	×
348	Uebersetzung	×	×	×
349	Uebersetzung	×	×	×
350	Uebersetzung	×	×	×
351	Uebersetzung	×	×	×
352	Uebersetzung	×	×	×
353	Uebersetzung	×	×	×
354	Uebersetzung	×	×	×
355	Uebersetzung	×	×	×
356	Uebersetzung	×	×	×
357	Uebersetzung	×	×	×
358	Uebersetzung	×	×	×
359	Uebersetzung	×	×	×
360	Uebersetzung	×	×	×
361	Uebersetzung	×	×	×
362	Uebersetzung	×	×	×
363	Uebersetzung	×	×	×
364	Uebersetzung	×	×	×
365	Uebersetzung	×	×	×
366	Uebersetzung	×	×	×
367	Uebersetzung	×	×	×
368	Uebersetzung	×	×	×
369	Uebersetzung	×	×	×
370	Uebersetzung	×	×	×
371	Uebersetzung	×	×	×
372	Uebersetzung	×	×	×
373	Uebersetzung	×	×	×
374	Uebersetzung	×	×	×
375	Uebersetzung	×	×	×
376	Uebersetzung	×	×	×
377	Uebersetzung	×	×	×
378	Uebersetzung	×	×	×
379	Uebersetzung	×	×	×
380	Uebersetzung	×	×	×
381	Uebersetzung	×	×	×
382	Uebersetzung	×	×	×
383	Uebersetzung	×	×	×
384	Uebersetzung	×	×	×
385	Uebersetzung	×	×	×
386	Uebersetzung	×	×	×
387	Uebersetzung	×	×	×
388	Uebersetzung	×	×	×
389	Uebersetzung	×	×	×
390	Uebersetzung	×	×	×
391	Uebersetzung	×	×	×
392	Uebersetzung	×	×	×
393	Uebersetzung	×	×	×
394	Uebersetzung	×	×	×
395	Uebersetzung	×	×	×
396	Uebersetzung	×	×	×
397	Uebersetzung	×	×	×
398	Uebersetzung	×	×	×
399	Uebersetzung	×	×	×
400	Uebersetzung	×	×	×
401	Uebersetzung	×	×	×
402	Uebersetzung	×	×	×
403	Uebersetzung	×	×	×
404	Uebersetzung	×	×	×
405	Uebersetzung	×	×	×
406	Uebersetzung	×	×	×
407	Uebersetzung	×	×	×
408	Uebersetzung	×	×	×
409	Uebersetzung	×	×	×
410	Uebersetzung	×	×	×
411	Uebersetzung	×	×	×
412	Uebersetzung	×	×	×
413	Uebersetzung	×	×	×
414	Uebersetzung	×	×	×
415	Uebersetzung	×	×	×
416	Uebersetzung	×	×	×
417	Uebersetzung	×	×	×
418	Uebersetzung	×	×	×
419	Uebersetzung	×	×	×
420	Uebersetzung	×	×	×
421	Uebersetzung	×	×	×
422	Uebersetzung	×	×	×
423	Uebersetzung	×	×	×
424	Uebersetzung	×	×	×
425	Uebersetzung	×	×	×
426	Uebersetzung	×	×	×
427	Verbesserungen	×	×	×
